Stem,Year,DBH,Comment
WF175,2014,4.2,bark-stripped
WF176,2014,3.1,bark-stripped
16219,2002,3.1,NA
16219,2005,3.6,NA
16219,2014,5.1,NA
16231,2002,3.6,NA
16231,2005,4.2,NA
16231,2014,5.4,NA
16268,2005,3.6,NA
16268,2014,3.7,NA
16269,2005,4.6,NA
16269,2014,6.8,NA
16270,2005,3.1,NA
16270,2014,7.9,bark-stripped
16417,1993,10.8,NA
16417,1996,11.5,NA
16417,1999,12.4,NA
16417,2002,13.1,NA
16417,2005,13.2,NA
16417,2014,21.6,NA
16418,1993,19.2,NA
16418,1996,19.4,NA
16418,1999,19.4,NA
16418,2002,NA,dead
16419,1993,3.5,NA
16419,1996,3.6,NA
16419,1999,3.8,NA
16419,2002,4,NA
16419,2005,4.1,NA
16419,2014,4.3,NA
16420,1993,12.9,NA
16420,1996,14,NA
16420,1999,15.1,NA
16420,2002,16.3,NA
16420,2005,17.2,NA
16420,2014,NA,dead
16421,1993,3.9,NA
16421,1996,3.9,NA
16421,1999,4,NA
16421,2002,4.2,NA
16421,2005,5.1,NA
16421,2014,10.1,NA
16422,1993,3.9,NA
16422,1996,3.9,NA
16422,1999,3.9,NA
16422,2002,4.1,NA
16422,2005,4.2,NA
16422,2014,8,NA
16423,1993,10.7,NA
16423,1996,11.4,NA
16423,1999,12.4,NA
16423,2002,13.3,NA
16423,2005,14.1,NA
16423,2014,NA,dead
16424,1993,16.1,NA
16424,1996,16.2,NA
16424,1999,16.2,NA
16424,2002,16.3,NA
16424,2005,16.4,NA
16424,2014,16.8,NA
16425,1993,4.9,NA
16425,1996,4.9,NA
16425,1999,4.9,NA
16425,2002,4.9,NA
16425,2005,5.6,NA
16425,2014,8.6,bark-stripped
16426,1993,3.9,NA
16426,1996,4,NA
16426,1999,4.3,NA
16426,2002,4.5,NA
16426,2005,4.7,NA
16426,2014,5.8,bark-stripped
16427,1993,4,NA
16427,1996,4.3,NA
16427,1999,4.6,NA
16427,2002,4.8,NA
16427,2005,4.3,NA
16427,2014,4,shrunk
16428,1993,28.9,NA
16428,1996,29.1,NA
16428,1999,29.1,NA
16428,2002,NA,dead
WF178,2014,3.5,bark-stripped
WF179,2014,3.1,bark-stripped
WF181,2014,3,bark-stripped
WF187,2014,4.4,bark-stripped
WF188,2014,3.1,bark-stripped
WF189,2014,4,bark-stripped
17120,1999,3.1,NA
17120,2002,3.3,NA
17120,2005,3.5,NA
17120,2014,6.1,bark-stripped
17121,1999,3.1,NA
17121,2002,3.3,NA
17121,2005,3.5,NA
17121,2014,4.5,bark-stripped
17220,2002,4.1,NA
17220,2005,4.6,NA
17220,2014,5.3,NA
17271,2005,3.5,NA
17271,2014,5.7,NA
17411,1993,28.9,NA
17411,1996,29.2,NA
17411,1999,29.8,NA
17411,2002,30.6,NA
17411,2005,30.7,NA
17411,2014,32.9,NA
17412,1993,18,NA
17412,1996,18,NA
17412,1999,17.8,NA
17412,2002,NA,dead
17413,1993,4.9,NA
17413,1996,5.7,NA
17413,1999,6.8,NA
17413,2002,8,NA
17413,2005,9.2,NA
17413,2014,12.2,NA
17414,1993,6.4,NA
17414,1996,6.5,NA
17414,1999,NA,dead
17416,1993,13.8,NA
17416,1996,14.3,NA
17416,1999,14.6,NA
17416,2002,14.8,NA
17416,2005,15.2,NA
17416,2014,NA,dead
17604,1996,3.2,NA
17604,1999,3.8,NA
17604,2002,4.3,NA
17604,2005,4.4,NA
17604,2014,5.1,bark-stripped
17878,1993,3.3,NA
17878,1996,NA,dead
17879,1993,6.6,NA
17879,1996,NA,dead
WF193,2014,3.1,NA
WF194,2014,5.2,bark-stripped
WF195,2014,6.2,bark-stripped
WF198,2014,3.8,NA
18400,1993,4.6,NA
18400,1996,4.7,NA
18400,1999,4.8,NA
18400,2002,5.1,NA
18400,2005,5.1,NA
18400,2014,6,NA
18401,1993,21.4,NA
18401,1996,22.7,NA
